ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1742533136.662100,CbLecrmjxVTugmYs3,192.168.126.104,47996,192.168.126.124,4242,tcp,-,0.021008,1471,205,RSTR,T,T,0,ShADadr,6,1791,6,513,-,6
1742533136.783051,CuAAad1aVxkUlNyKX2,192.168.126.104,48010,192.168.126.124,4242,tcp,-,0.101393,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533136.884138,CwcSEo1c1V4SsPgQ18,192.168.126.104,48016,192.168.126.124,4242,tcp,-,0.101739,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533136.985599,CAiLzY2zDom4sx9Ode,192.168.126.104,48020,192.168.126.124,4242,tcp,-,0.101615,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533137.086997,CeuwGW2g9rwluBJI71,192.168.126.104,48034,192.168.126.124,4242,tcp,-,0.101721,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533137.188494,CfVKLLraoYDBUdxx,192.168.126.104,48050,192.168.126.124,4242,tcp,-,0.101599,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533137.289831,CwU6Bs4tNPyPAXuVI,192.168.126.104,48064,192.168.126.124,4242,tcp,-,0.101645,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533137.391283,ChHKIE43W6ieTmBwL7,192.168.126.104,48076,192.168.126.124,4242,tcp,-,0.101795,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533137.492881,CG2aNa3n3Eas1DNzWj,192.168.126.104,48088,192.168.126.124,4242,tcp,-,0.101642,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533137.594300,ChGATy4TQK0R75kJoj,192.168.126.104,48094,192.168.126.124,4242,tcp,-,0.101436,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533137.695519,C7dYzO1deidJaQai8k,192.168.126.104,48096,192.168.126.124,4242,tcp,-,0.101580,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533137.796848,CSxlQL3j9GY9yFXHSd,192.168.126.104,48112,192.168.126.124,4242,tcp,-,0.101390,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533137.898037,CEZB6l2QwWDwrVxqe5,192.168.126.104,48118,192.168.126.124,4242,tcp,-,0.101471,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533137.999324,C3qZXo3kertfFujxHf,192.168.126.104,48134,192.168.126.124,4242,tcp,-,0.101587,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533138.100655,C1Z4mo2QMaXBCdLxW6,192.168.126.104,48146,192.168.126.124,4242,tcp,-,0.101698,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533138.202057,CsPeuR3VfCgOsFRn8,192.168.126.104,48150,192.168.126.124,4242,tcp,-,0.101621,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533138.303486,Ce7DOp27exMNW5sns1,192.168.126.104,48154,192.168.126.124,4242,tcp,-,0.101592,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533138.404839,CItRYUVVLY4vefdX1,192.168.126.104,48162,192.168.126.124,4242,tcp,-,0.101523,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533138.506058,CDZ4se3CcxX3t8YMc5,192.168.126.104,48176,192.168.126.124,4242,tcp,-,0.101651,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533138.607448,CtHfa13h68Dg3tPtCd,192.168.126.104,48180,192.168.126.124,4242,tcp,-,0.101880,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533138.709123,C5CtqB31LKUPMH5N4e,192.168.126.104,48196,192.168.126.124,4242,tcp,-,0.101731,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533138.810642,C5blhH15oOAYPw5RJe,192.168.126.104,48202,192.168.126.124,4242,tcp,-,0.101659,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
1742533138.912029,C3IhCf3eW84aosgO3b,192.168.126.104,48218,192.168.126.124,4242,tcp,-,0.101676,231,195,SF,T,T,0,ShADadFf,6,551,4,411,-,6
